country_host,name,requirements,study_field,study_level,url
Alemania,"Becas de Doctorado para estudiantes internacionales de la Fundación Rosa Luxemburgo, 2023-1","Requisitos de elegibilidad para estudiantes de doctorado extranjeros (se deben cumplir todos los requisitos):,1. Haber sido aceptado en una institución de educación superior pública o acreditada públicamente en Alemania o en el extranjero,2. Supervisión de un profesor en Alemania,3. Rendimiento académico sobresaliente,4. Compromiso social en el espíritu de la Rosa-Luxemburg-Stiftung,5. Alto dominio del alemán (se requiere prueba de instrucción)","ciencias de la computación,Ingeniería",Doctorado,https://becas-sin-fronteras.com/beca/becas-alemania-becas-de-doctorado-para-estudiantes-extranjeros-fundacion-rosa-luxemburgo-11213/
Eslovaquia,"Becas del Gobierno de la República Eslovaca, 2022-2","ESTUDIANTES UNIVERSITARIOS QUE,1. Sean estudiantes universitarios de universidades fuera de Eslovaquia.,2. Sean estudiantes del segundo nivel de educación superior (estudiantes de maestría), o son estudiantes que al momento de la fecha límite de solicitud ya han completado al menos 2.5 años de sus estudios universitarios en el mismo programa de estudios.,3. Estén en una estancia de estudio en Eslovaquia durante su educación superior fuera de Eslovaquia y será aceptado por una universidad pública, privada o estatal en Eslovaquia para una movilidad académica a estudiar en Eslovaquia.,Las 3 condiciones deben cumplirse. Esta categoría no se aplica a los estudios de doctorado (PhD) (o su equivalente).,Duración de una beca (estudiantes): 1 - 2 semestres completos (es decir, 4 - 5 o 9 - 10 meses) o completos de 1 a 3 trimestres, en caso de que el año académico se divida en trimestres (es decir, 3 - 4 o 6 - 7 o 9-10 meses).,ESTUDIANTES DE DOCTORADO,Cuya educación superior o formación científica se lleva a cabo fuera de Eslovaquia y que son aceptados por una universidad pública, privada o estatal o una institución de investigación en Eslovaquia elegible para llevar a cabo un programa de estudios de doctorado2 (por ejemplo, la Academia de Ciencias de Eslovaquia) para:,1. Efectuar movilidad académica,2. Realizar estudios de licenciatura y posgrado,3. Desarrollar investigación,4. Una estancia artística en Eslovaquia.,Duración de una beca (estudiantes de doctorado): 1 - 10 meses.,PROFESORES UNIVERSITARIOS INTERNACIONALES, INVESTIGADORES Y ARTISTAS,Que son invitados a una estancia de enseñanza / investigación / artística en Eslovaquia por una institución con un certificado válido de elegibilidad para realizar investigación y desarrollo, que no es una empresa comercial3 y tiene su sede en Eslovaquia.,Duración de una beca (profesores universitarios, investigadores o artistas): 1 - 10 meses.,EL PROGRAMA NACIONAL DE BECAS NO APOYA,- A estudiantes internacionales y estudiantes de doctorado aceptados para educación superior completa (licenciatura, maestría, estudios de doctorado) en Eslovaquia, o aquellos que ya estudian en Eslovaquia (educación superior completa) a quienes les gustaría financiar sus estudios en Eslovaquia con el NSP.,- A profesores universitarios, investigadores y artistas sin doctorado (o su equivalente) y al mismo tiempo con más de 4 años de experiencia laboral como profesor / investigador / artista universitario (los estudios de doctorado se consideran experiencia laboral) en la fecha de cierre indicada para la presentación de solicitudes.,- A solicitantes internacionales que en el período de 36 meses antes de la fecha límite de solicitud hayan pasado 12 o más meses en el territorio de la República Eslovaca (en total).,- A Solicitantes internacionales que reciben una beca en Eslovaquia en el marco de otros programas de becas financiados con recursos públicos (por ejemplo, Fondo Internacional Visegrad, Erasmus +, CEEPUS, acuerdos bilaterales, etc.).","ciencias de la computación,Ingeniería","Maestría / Especialidad,Doctorado",https://becas-sin-fronteras.com/beca/becas-del-gobierno-de-la-republica-eslovaca-ii-a3293/
Alemania,"Becas para estudiantes internacionales de la Fundación Rosa Luxemburgo, 2023-2","Requisitos de elegibilidad para estudiantes internacionales (se deben cumplir todos los requisitos):,1. Inscripción (o al menos aceptación) en una universidad pública o acreditada públicamente en Alemania.,2. Prueba de haber completado una licenciatura o un estudio básico terminado (Diplomado, Magister, examen estatal),3. Rendimiento académico sobresaliente,4. Compromiso social en el espíritu de la Rosa-Luxemburg-Stiftung,5. Dominio del idioma alemán (al menos nivel B-2): ¡no financiamos cursos de idioma alemán!,No se será elegible para:,a. Terminar un título que ya está casi terminado,b. Licenciatura o estudios básicos,c. Una segunda carrera,d. Un programa de grado a tiempo parcial combinado con un empleo laboral,e. Estudiar en un país distinto de su país de origen","ciencias de la computación,Ingeniería",Maestría / Especialidad,https://becas-sin-fronteras.com/beca/becas-alemania-becas-para-estudiantes-extranjeros-fundacion-rosa-luxemburgo-ii-a3292/
Alemania,"Becas de Doctorado para estudiantes internacionales de la Fundación Rosa Luxemburgo, 2023-2","Requisitos de elegibilidad para estudiantes de doctorado extranjeros (se deben cumplir todos los requisitos):,1. Haber sido aceptado en una institución de educación superior pública o acreditada públicamente en Alemania o en el extranjero,2. Supervisión de un profesor en Alemania,3. Rendimiento académico sobresaliente,4. Compromiso social en el espíritu de la Rosa-Luxemburg-Stiftung,5. Alto dominio del alemán (se requiere prueba de instrucción)","ciencias de la computación,Ingeniería",Doctorado,https://becas-sin-fronteras.com/beca/becas-alemania-becas-de-doctorado-para-estudiantes-extranjeros-fundacion-rosa-luxemburgo-ii-a3291/
Australia,"Beca Vice-Chancellor’s Social Champion Scholarship, 2023","Se alienta particularmente las solicitudes de estudiantes que:,1. Vivan en América Latina, el Sudeste Asiático, África y el Sur de Asia.,2. No tienen los recursos para financiar estudios internacionales.,3. No tienen acceso a otras becas significativas (ejemplo: Australia Awards).,LOS SOLICITANTES SON ELEGIBLES SI,a. Se encuentran en alta mar en el momento de la solicitud.,b. Han solicitado, pero aún no han comenzado, un título de grado o posgrado en la Universidad de Canberra.,c. Han satisfecho el requisito académico del programa con un promedio mínimo de 80% (o equivalente).,d. Tienen cualquier forma de carta de oferta (incluida la oferta condicional o provisional) emitida por la Universidad de Canberra.,e. Están aplicando para estudiar con una visa de estudiante australiana (subclase 500).,f. Son nuevos estudiantes que comienzen sus carreras.","ciencias de la computación,Ingeniería",Licenciatura / Grado,https://becas-sin-fronteras.com/beca/beca-vice-chancellors-social-champion-scholarship-a3242/
Suiza,"Becas de Excelencia del Gobierno de Suiza – COLFUTURO para colombianos, 2023","1. Al menos dos candidatos nominados por COLFUTURO recibirán becas completas, que incluyen, pero no se limitan a, viáticos, seguro médico y pasajes de regreso de Suiza a Colombia.,2. Para solicitar las becas, los estudiantes deben haber encontrado un profesor en una institución académica suiza dispuesto a actuar como su supervisor para un proyecto de investigación, estudios de posdoctorado o doctorado, para comenzar sus programas después de septiembre de 2023.,3. Solo los solicitantes, que hayan vivido menos de doce meses en Suiza antes del inicio de la beca en septiembre de 2023, serán elegibles para participar y competir por las becas.,4. Las becas son para: Becas de investigación, Doctorado y Post-Doctorado. No hay becas para maestrías ni para programas artísticos.,5. El candidato deberá contar con la aceptación de un supervisor para su proyecto de investigación y la carta de admisión de la escuela de doctorado.,6. No se consideran los expedientes de los candidatos que residan en Suiza por más de un año y que ya hayan iniciado una investigación, un Doctorado o Post-Doctorado en Suiza, ni podrán presentar las personas físicas que hayan sido beneficiarias de una beca del Gobierno de Suiza. año de aplicación.,7. El candidato debe presentar una solicitud a una sola universidad (si el candidato ha aplicado a dos o más, será descalificado), teniendo el conocimiento del idioma necesario para completar sus estudios o investigación. El nivel de inglés deberá ser excelente, ya que es un requisito indispensable.","ciencias de la computación,Ingeniería","Doctorado,Posdoctorado",https://becas-sin-fronteras.com/beca/becas-de-excelencia-del-gobierno-de-suiza-para-colombianos-a0979/
Finlandia,"Becas de la Universidad de Helsinki para estudiantes internacionales, 2023","Todos los candidatos deben cumplir con los siguientes requisitos:,1. Los ciudadanos de países no pertenecientes a la UE / EEE que no tienen el estatus de residencia permanente en el área de la UE / EEE son responsables de las tasas de matrícula. Puede consultar las preguntas frecuentes en el sitio web de Studyinfo sobre si está obligado o no a pagar las tasas de matrícula.,2. Cumplir con los requisitos para obtener una visa de entrada y un permiso de residencia para Finlandia.,3. Obtener excelentes resultados en sus estudios previos y demostrarlo en la solicitud.,Requisitos específicos:,1. Para ser elegible para aplicar a un programa de maestría, debe haber completado un título de primer ciclo (licenciatura o equivalente).,2. Si completa el título de primer ciclo después de que finalice el período de solicitud, aún puede solicitar la admisión siempre que cumpla con los otros criterios de admisión. Si se le ofrece una plaza de estudiante, será condicional y deberá presentar prueba de su graduación antes de la fecha indicada en los criterios de admisión.,3. Cada programa de maestría tiene sus propios criterios sobre qué estudios debe haber completado anteriormente. Su título no siempre es necesariamente del campo de su programa de maestría prospectiva, pero debe haber completado una cantidad suficiente de estudios relevantes de nivel postsecundario.,4. También debe cumplir con los requisitos de idioma específicos del programa de grado.","ciencias de la computación,Ingeniería",Maestría / Especialidad,https://becas-sin-fronteras.com/beca/becas-de-la-universidad-de-helsinki-para-estudiantes-internacionales-a3258/
Corea del Sur,"Beca GIST para estudiantes internacionales en Corea del Sur, 2022-2","1. Candidatos internacionales que cuenten con un perfecto historial académico.,2. Cuenten con un GPA acumulativo superior de 3.0.,3. Para solicitar la admisión al curso de máster a tiempo completo deberá contar con un título de pregrado.,4. Para el programa de doctorado el comité del Instituto GIST exigirá un certificado de maestría obtenido en una universidad de renombre internacional.,5. El estudiante interesado debe realizar una inscripción formal mediante el sistema de registro en línea del Instituto de Ciencia y Tecnología de Gwangju (GIST).,6. Demostrar dominio del inglés con los siguientes test: TOEFL (BT) 80 / TOEFL (PBT) 550 / IELTS 6.5 / TOEIC 750 / NEW TEPS 327. En caso de que no obtenga el resultado de su prueba a tiempo, tu universidad de origen puede otorgar un certificado profesional de dominio del idioma inglés.","ciencias de la computación,Ingeniería","Maestría / Especialidad,Doctorado",https://becas-sin-fronteras.com/beca/beca-global-gist-para-estudiantes-internacionales-en-corea-del-sur-a2216/
Corea del Sur,"Becas para mujeres de Licenciatura y Posgrado en Ewha Womans University, 2023-1","1. Nacionalidad: no coreana,2. Para ser elegible para postularse a través de este proceso de admisión, los solicitantes y sus padres deben ser ciudadanos (es decir, titulares de pasaportes) de un país que no sea Corea.,3. Los ciudadanos coreanos con nacionalidad doble o múltiple no son elegibles para postularse; esto se aplica al solicitante y a ambos padres.,4. Los solicitantes que hayan adquirido la nacionalidad no coreana después del nacimiento son elegibles solo si el solicitante y ambos padres han adquirido la nacionalidad no coreana antes de la inscripción del solicitante en un plan de estudios educativo equivalente al plan de estudios de la escuela secundaria en Corea.,5. La Universidad EWHA Womans solo acepta solicitudes de mujeres.,6. Los solicitantes que ellos mismos y sus padres sean de origen coreano o hayan adquirido la nacionalidad no coreana después del nacimiento deben presentar documentos adicionales que verifiquen:,6.1. La renuncia a la nacionalidad coreana,6.2. La fecha en que se adquirió la nacionalidad no coreana.,7. Cualquier documento que verifique el divorcio o la muerte de los padres / Prueba de la patria potestad o la custodia también debe presentarse en caso de divorcio de los padres.,a. PROGRAMA DE PREGRADO:,a.1. Solicitantes de primer año que se hayan graduado o se espera que se gradúen de la escuela secundaria para agosto de 2021.,a.2. El GED, el Examen de equivalencia para graduados de la escuela secundaria coreana, la educación en el hogar, la educación cibernética u otros certificados de equivalencia de la escuela secundaria no se consideran diploma de escuela secundaria.,a.3. Solicitantes de transferencia que hayan completado o se espera que completen al menos 2 años académicos (4 semestres regulares, excluyendo la suma de sesiones verano/invierno) en un programa de pregrado en una universidad regular de cuatro años para agosto de 2021, y tiene la intención de transferirlo al tercer año.,a.4. Los solicitantes que asistieron a un colegio comunitario son elegibles solo si han adquirido o se espera que adquieran un título de asociado para agosto de 2021.,b. PROGRAMAS DE PREGRADO, SOLICITANTES COMBINADOS DE MASTER Y DOCTORADO:,b.1. Que hayan completado un programa universitario de cuatro años o su equivalente y hayan adquirido o se espera que obtengan una licenciatura para agosto de 2021.,b.2. Solicitantes de doctorado que hayan completado un programa de posgrado y hayan adquirido o se espera que obtengan un título de maestría para agosto de 2021.,b.3. Dominio del idioma: los solicitantes deben cumplir al menos uno de los siguientes requisitos de dominio del idioma,b.4. Solicitantes de primer año de pregrado: Prueba de competencia en coreano (TOPIK) Nivel 3 o superior Solicitantes de programas de posgrado y transferencia de pregrado: Nivel 4 de TOPIK o superior,b.5. Finalización del nivel 4 o superior del programa intensivo de idioma coreano en EWHA Language Center,b.6. Puntuaciones de la prueba de dominio del inglés:,b.7. TOEFL (PBT 550, iBT 80), IELTS 5.5, Nuevo TEPS 326 o superior,b.8. Finalización de la educación secundaria o universitaria realizada íntegramente en coreano o inglés,b.9. El reconocimiento de EWHA de que el nivel de competencia en coreano o inglés del solicitante es equivalente o superior a los requisitos A-D anteriores.,b.10. Todos los puntajes de las pruebas de dominio del idioma deben permanecer válidos hasta la fecha límite de envío de documentos para ser considerados para la admisión.,b.11. Los solicitantes admitidos en programas de pregrado deben adquirir TOPIK nivel 4 o superior antes de graduarse. (Excepción: División de Estudios Internacionales, donde todos los cursos principales se imparten en inglés).,c. REQUISITOS ADICIONALES PARA SOLICITANTES DEL ALGUNOS PROGRAMAS DE PREGRADO:,c.1. DERECHO Y LEYES:,c.1.1. El programa combinado de maestría y doctorado en derecho solo está abierto a solicitantes con al menos 3 años de experiencia en la práctica legal.,c.2. CIENCIA DE ENFERMERÍA:,c.2.1. Los programas de maestría en especialidades de Enfermería Gerontológica, Enfermera de Salud Mental Psiquiátrica y Enfermería Clínica Avanzada solo están abiertos a solicitantes con al menos 3 años de experiencia clínica en cada campo respectivo.,c.3. MEDICINA:,c.3.1. Los programas en las especializaciones de Medicina Clínica (excluyendo las especializaciones de ciencias médicas básicas) solo están abiertos a solicitantes que se hayan graduado de la Facultad de Medicina.,c.3.2. Los programas de Medicina Dental solo están abiertos a solicitantes que se hayan graduado de la Facultad de odontología.,c.4. EDUCACIÓN DE LA PRIMERA INFANCIA:,c.4.1. El programa de Doctorado en Administración Educativa en la Primera Infancia solo está abierto a solicitantes que actualmente estén trabajando en un campo relacionado con la educación de la primera infancia.","ciencias de la computación,Ingeniería","Licenciatura / Grado,Maestría / Especialidad,Doctorado",https://becas-sin-fronteras.com/beca/becas-para-mujeres-de-licenciatura-y-posgrado-en-ewha-womans-university-11998/
Estados Unidos,"Beca Stamps Scholarship de la Louisiana State University, 2022-2023","1. Los estudiantes internacionales que nunca han asistido a una institución de educación postsecundaria se postularán como estudiantes de primer año y deben tener el equivalente a un diploma de escuela secundaria de los Estados Unidos con un promedio académico equivalente a una ""B"" (3.0 o mejor en el sistema de calificación de 4 puntos de los Estados Unidos).,2. El ""promedio académico"" se determina promediando las calificaciones de los cursos académicos de la escuela secundaria, excluyendo los cursos no académicos como la educación física, los cursos vocacionales / técnicos, la religión, el arte, la música, etc.,3. Los estudiantes deben presentar registros oficiales completos para el nivel de educación secundaria y se les recomienda encarecidamente que presenten los puntajes act o SAT. Los estudiantes que han tomado exámenes de nivel avanzado, exámenes de nivel superior del bachillerato internacional u otros tipos de educación secundaria más allá del año 12 de escolaridad deben presentar los certificados oficiales, las transcripciones y los programas de estudios de los cursos para un posible crédito universitario de colocación avanzada.,REQUISITOS DE DOMINIO DEL IDIOMA INGLÉS,Un solicitante cuyo idioma nativo no es el inglés y / o que ha sido educado fuera de los EEUU en un país o provincia donde el inglés no es el único idioma oficial debe demostrar prueba de dominio del inglés mediante la presentación de un TOEFL o un puntaje IELTS.,PUNTAJES REQUERIDOS PARA LA ADMISIÓN AUTOMÁTICA,- TOEFL (examen escrito): 550,- TOEFL (examen basado en la web): 79,- IELTS 6.5,- Duolingo 100,Los solicitantes pueden estar exentos del requisito TOEFL / IELTS si han completado uno de los siguientes:,- Diploma de escuela secundaria de los Estados Unidos obtenido, habiendo asistido a los 4 años de la escuela secundaria en los Estados Unidos.,- Licenciatura obtenida de una institución acreditada de los Estados Unidos,- Una puntuación de 500 en la sección EBRW del SAT; o 18 en la Sección inglesa de la ACT,- Requisitos de transferencia de los Estados Unidos (mínimo 2.50 GPA general en 30 o más horas semestrales por encima del nivel correctivo, incluido un curso de nivel universitario en inglés y matemáticas, o dos cursos de inglés consecutivos, de un colegio o universidad de los Estados Unidos acreditado regionalmente),- Educación secundaria o terciaria en un país donde el inglés es el idioma oficial principal.","ciencias de la computación,Ingeniería",Licenciatura / Grado,https://becas-sin-fronteras.com/beca/beca-stamps-scholarship-de-la-louisiana-state-university-a3257/
Estados Unidos,"Beca President’s Alumni Scholars Award de la Louisiana State University, 2022-2023","REQUISITOS DE IDIOMA INGLÉS,Un solicitante cuyo idioma nativo no es el inglés y / o que ha sido educado fuera de los EEUU en un país o provincia donde el inglés no es el único idioma oficial debe demostrar prueba de dominio del inglés mediante la presentación de un TOEFL o un puntaje IELTS.,PUNTAJES REQUERIDOS PARA LA ADMISIÓN AUTOMÁTICA,- TOEFL (examen escrito): 550,- TOEFL (examen basado en la web): 79,- IELTS 6.5,- Duolingo 100,Los solicitantes pueden estar exentos del requisito TOEFL / IELTS si han completado uno de los siguientes:,- Diploma de escuela secundaria de los Estados Unidos obtenido, habiendo asistido a los 4 años de la escuela secundaria en los Estados Unidos.,- Licenciatura obtenida de una institución acreditada de los Estados Unidos,- Una puntuación de 500 en la sección EBRW del SAT; o 18 en la Sección inglesa de la ACT,- Requisitos de transferencia de los Estados Unidos (mínimo 2.50 GPA general en 30 o más horas semestrales por encima del nivel correctivo, incluido un curso de nivel universitario en inglés y matemáticas, o dos cursos de inglés consecutivos, de un colegio o universidad de los Estados Unidos acreditado regionalmente),- Educación secundaria o terciaria en un país donde el inglés es el idioma oficial principal.,Se requieren transcripciones o puntajes oficiales que muestren la finalización de uno de los anteriores antes de que un estudiante pueda estar exento del requisito TOEFL / IELTS. La Oficina de Administración de Inscripciones se reserva el derecho de exigir un puntaje TOEFL / IELTS satisfactorio de cualquier solicitante.","ciencias de la computación,Ingeniería",Licenciatura / Grado,https://becas-sin-fronteras.com/beca/beca-presidents-alumni-scholars-award-de-la-louisiana-state-university-a3256/
