country_host,name,requirements,study_field,study_level,url
,,,,,
,,,,,
Estados Unidos,"Beca International Education Scholarship – Miami University, 2022","LOS REQUISITOS BÁSICOS PARA LA ADMISIÓN COMO ESTUDIANTE INTERNACIONAL A UN PROGRAMA DE LICENCIATURA INCLUYEN LOS SIGUIENTES,1. Prueba de la terminación de la educación secundaria formal en un plan de estudios preuniversitario. Esta educación debe culminar con la concesión de un diploma o la emisión de un certificado de finalización o certificado de matriculación generalmente reconocido como la calificación educativa necesaria para la admisión a estudios superiores.,2. Demostrar la capacidad del idioma inglés a un nivel suficiente para realizar un curso de estudio completo. Para obtener más información sobre cómo cumplir con esta calificación, consulte los requisitos de dominio del idioma inglés de la Universidad de Miami. (Los puntajes de las pruebas oficiales deben enviarse directamente a la Universidad de Miami).,3. Puntuaciones de la Prueba de Aptitud Académica (SAT) o de la Prueba Universitaria Estadounidense (ACT) (si corresponde). La mayoría de los estudiantes internacionales no están obligados a proporcionar un puntaje ACT o SAT, pero pueden usar el ACT o SAT para cumplir con los requisitos de dominio del idioma inglés en: https: //miamioh.edu/admission/international/english-proficiency/index.html,4. Estudiantes canadienses y estudiantes internacionales que han asistido a un U.S. la escuela secundaria durante tres años o más debe conocer las políticas de prueba opcional de Miami. Lea nuestras preguntas frecuentes sobre el examen opcional: https://miamioh.edu/admission/high-school/application/test-opcional-faqs/index.html Puede enviarse después de que se haya recibido la decisión de admisión.,5. Documentación de apoyo financiero adecuado para cubrir todos los gastos educativos y de manutención.,6. Los solicitantes que requieran documentos I-20 o DS-2019 (visa F-1 o J-1) para asistir a la Universidad de Miami deben mostrar prueba de apoyo financiero. Además, si es titular de una visa F-1 o J-1 en los EE. UU., DEBE proporcionar una copia del estado actual de su visa. Los solicitantes que están en los EE. UU. con cualquier otro tipo de visa (p. ej., H-4, L-2, etc.) DEBE enviar una copia de su visa actual o estado migratorio para renunciar al requisito de apoyo financiero.,NOTAS ADICIONALES,a. La Universidad de Miami reconoce las diferencias en los sistemas educativos y las tiene en cuenta al ubicar a los estudiantes universitarios internacionales en el nivel adecuado en sus programas de grado. Las credenciales académicas se evalúan dentro del contexto del sistema educativo del país donde el estudiante ha estudiado. Se hacen comparaciones con programas educativos en los EE. UU., y los estudiantes se ubican en niveles adecuados a su formación académica.,b. La Universidad de Miami puede aceptar créditos que haya obtenido en estudios de nivel universitario en otras instituciones postsecundarias reconocidas y, de ser así, puede utilizar estos créditos para completar los requisitos de grado.,c. Los solicitantes de una institución postsecundaria en el extranjero deben proporcionar descripciones de cursos o planes de estudios para CADA materia para que se considere para la transferencia de créditos. Estas descripciones deben incluir una lista de lecturas requeridas, la cantidad de horas de clase requeridas para cada curso y la duración del período académico cuando se inscribió. Dado que los departamentos académicos de la Universidad de Miami determinan si los créditos obtenidos en el extranjero se aceptarán como equivalentes a los cursos ofrecidos en la Universidad de Miami, el crédito se otorga materia por materia. Cuando se hace una oferta de admisión, a los estudiantes se les proporciona información de crédito de transferencia tentativa a pedido.,d. Obtenga más información sobre la transferencia de crédito en la Universidad de Miami en: http://miamioh.edu/onestop/your-records/academic-records/transfer-credit-eval/index.html","ciencias de la computación,Ingeniería","Licenciatura / Grado,Maestría / Especialidad,Doctorado",https://becas-sin-fronteras.com/beca/beca-international-education-scholarship-miami-university-a2956/
España,"Becas para cursar Másteres Universitarios en la Universidad de Almería – Becas AUIP, 2022-2023",,"ciencias de la computación,Ingeniería",Maestría / Especialidad,https://becas-sin-fronteras.com/beca/becas-para-cursar-masteres-universitarios-en-la-universidad-de-almeria-becas-auip-a0231/
Estados Unidos,"Beca para estudiantes internacionales – LSA Universidad de Michigan, 2022",,"ciencias de la computación,Ingeniería",Licenciatura / Grado,https://becas-sin-fronteras.com/beca/beca-para-estudiantes-internacionales-lsa-universidad-de-michigan-a2908/
España,"Becas para cursar Másteres Universitarios en la Universidad de Córdoba – Becas AUIP, 2022-2023",,"ciencias de la computación,Ingeniería",Maestría / Especialidad,https://becas-sin-fronteras.com/beca/becas-espana-becas-masteres-universitarios-universidad-de-cordoba-auip-10858/
el Reino Unido,"Becas King’s A*STAR PhD Studentships, 2022",,"ciencias de la computación,Ingeniería",Doctorado,https://becas-sin-fronteras.com/beca/becas-kings-astar-phd-studentships-a2906/
España,"Becas TalentUnileon – Santander Universidades de máster de excelencia para alumnado internacional, 2022-2023",,ciencias de la computación,Maestría / Especialidad,https://becas-sin-fronteras.com/beca/becas-talentunileon-de-master-de-excelencia-para-alumnado-internacional-a1754/
España,"Becas Ayuda al Estudio ESIC, 2022",,"ciencias de la computación,Ingeniería",Licenciatura / Grado,https://becas-sin-fronteras.com/beca/becas-ayuda-al-estudio-esic-a2942/
España,"Becas Internacionales Universidad de Salamanca – Banco Santander para la movilidad en estudios de Grado, 2022-2023",,"ciencias de la computación,Ingeniería",Licenciatura / Grado,https://becas-sin-fronteras.com/beca/becas-de-grado-para-estudiantes-latinoamericanos-universidad-de-salamanca-a0622/
"Chile,Colombia,España","Becas AUIP – Becas de Movilidad para las “Dobles Titulaciones de Posgrado AUIP” entre universidades iberoamericanas, 2022",,"ciencias de la computación,Ingeniería",Maestría / Especialidad,https://becas-sin-fronteras.com/beca/becas-auip-becas-de-movilidad-para-las-dobles-titulaciones-de-posgrado-auip-entre-universidades-iberoamericanas-a2927/
Australia,"Becas Monash International Leadership Scholarship, 2022",,"ciencias de la computación,Ingeniería","Licenciatura / Grado,Maestría / Especialidad,Doctorado",https://becas-sin-fronteras.com/beca/becas-australia-beca-monash-international-leadership-scholarship-10692/
España,"Becas para la realización de la tesis doctoral en la Universidad de Málaga, España – AUIP, 2022-2023",,"ciencias de la computación,Ingeniería",Doctorado,https://becas-sin-fronteras.com/beca/becas-espana-becas-para-la-realizacion-de-la-tesis-doctoral-universidad-de-malaga-auip-10867/
,,,,,
"Chile,Colombia,México,Perú","Becas de movilidad estudiantil y académica de la Alianza del Pacífico, 2022",,"ciencias de la computación,Ingeniería","Licenciatura / Grado,Doctorado",https://becas-sin-fronteras.com/beca/becas-de-movilidad-estudiantil-y-academica-de-la-alianza-del-pacifico-a1054/
,,,,,
,,,,,
China,"Becas del Gobierno de Shanghai, 2022",,"ciencias de la computación,Ingeniería","Licenciatura / Grado,Maestría / Especialidad,Doctorado",https://becas-sin-fronteras.com/beca/becas-del-gobierno-de-shanghai-a2938/
,,,,,
,,,,,
España,"Becas para cursar Másteres con opción a Doctorado en la Universidad Pública de Navarra – UPNA – Becas AUIP, 2022-2023",,"ciencias de la computación,Ingeniería","Maestría / Especialidad,Doctorado",https://becas-sin-fronteras.com/beca/becas-para-cursar-masteres-con-opcion-a-doctorado-en-la-universidad-publica-de-navarra-upna-becas-auip-a1523/
,,,,,
,,,,,
España,"Becas para cursar Másteres Universitarios en la Universidad Pablo de Olavide de Sevilla – Becas AUIP, 2022-2023",,"ciencias de la computación,Ingeniería",Maestría / Especialidad,https://becas-sin-fronteras.com/beca/becas-espana-becas-masteres-universitarios-universidad-pablo-de-olavide-de-sevilla-auip-10864/
el Reino Unido,"Beca DeepMind en la Universidad Queen Mary de Londres, 2022",,ciencias de la computación,Maestría / Especialidad,https://becas-sin-fronteras.com/beca/beca-deepmind-en-la-universidad-queen-mary-de-londres-a2915/
España,"Becas para cursar Másteres Universitarios en la Universidad Internacional de Andalucía, UNIA – Becas AUIP, 2022-2023",,"ciencias de la computación,Ingeniería",Maestría / Especialidad,https://becas-sin-fronteras.com/beca/becas-espana-becas-masteres-universitarios-universidad-internacional-de-andalucia-unia-auip-10863/
"Argentina,Bolivia,Brasil,Chile,Colombia,Costa Rica,Cuba,la República Dominicana,Ecuador,El Salvador,España,Guatemala,Honduras,México,Nicaragua,Panamá,Paraguay,Perú,Portugal,Uruguay,Venezuela,otros países","Becas OEI – Cátedra Iberoamericana de Cultura Digital y Propiedad Intelectual, 2022",,"ciencias de la computación,Ingeniería","Maestría / Especialidad,Doctorado",https://becas-sin-fronteras.com/beca/becas-oei-catedra-iberoamericana-de-cultura-digital-y-propiedad-intelectual-a2913/
Corea del Sur,"Becas KAIST en Corea del Sur, 2022",,"ciencias de la computación,Ingeniería","Licenciatura / Grado,Maestría / Especialidad",https://becas-sin-fronteras.com/beca/becas-kaist-en-corea-del-sur-a2670/
España,"Becas para cursar Másteres Universitarios en la Universidad de Huelva – Becas AUIP, 2022-2023",,ciencias de la computación,Maestría / Especialidad,https://becas-sin-fronteras.com/beca/becas-para-cursar-masteres-universitarios-en-la-universidad-de-huelva-becas-auip-a0234/
España,"Becas para cursar Másteres Universitarios en la Universidad de Sevilla – Becas AUIP, 2022-2023",,"ciencias de la computación,Ingeniería",Maestría / Especialidad,https://becas-sin-fronteras.com/beca/becas-espana-becas-masteres-universitarios-universidad-de-sevilla-auip-10862/
,,,,,
España,"Becas para cursar Másteres Universitarios en la Universidad de Jaén – Becas AUIP, 2022-2023",,"ciencias de la computación,Ingeniería",Maestría / Especialidad,https://becas-sin-fronteras.com/beca/becas-espana-becas-masteres-universitarios-universidad-de-jaen-auip-10861/
,,,,,
,,,,,
España,"Becas para cursar Másteres Universitarios en la Universidad de Cádiz – Becas AUIP, 2022-2023",,"ciencias de la computación,Ingeniería",Maestría / Especialidad,https://becas-sin-fronteras.com/beca/becas-para-cursar-masteres-universitarios-en-la-universidad-de-cadiz-becas-auip-a0232/
,,,,,
,,,,,
España,"Becas para cursar Másteres Universitarios en la Universidad Rey Juan Carlos URJC – Becas AUIP, 2022",,"ciencias de la computación,Ingeniería",Maestría / Especialidad,https://becas-sin-fronteras.com/beca/becas-para-cursar-masteres-universitarios-en-la-universidad-rey-juan-carlos-urjc-becas-auip-a2871/
Estados Unidos,"Becas Fulbright para Comunidades Afrodescendientes de Colombia, 2023",,"ciencias de la computación,Ingeniería","Maestría / Especialidad,Doctorado",https://becas-sin-fronteras.com/beca/becas-fulbright-para-lideres-afrodescendientes-colombia-a0561/
Italia,"Becas del Gobierno de Italia, 2022",,ciencias de la computación,"Maestría / Especialidad,Doctorado",https://becas-sin-fronteras.com/beca/becas-para-master-en-italia-gobierno-de-italia-a0509/
,,,,,
España,"Becas para cursar Másteres Universitarios en la Universidad de Cantabria – Becas AUIP, 2022-2023",,"ciencias de la computación,Ingeniería",Maestría / Especialidad,https://becas-sin-fronteras.com/beca/becas-para-cursar-masteres-universitarios-en-la-universidad-de-cantabria-becas-auip-a0233/
España,"Beca EURAXESS para realizar un doctorado en España, 2022",,"ciencias de la computación,Ingeniería",Doctorado,https://becas-sin-fronteras.com/beca/beca-euraxess-para-realizar-un-doctorado-en-espana-a2928/
Italia,"Becas de excelencia de la Universidad de Milán para estudiantes internacionales, 2022-2023",,"ciencias de la computación,Ingeniería",Maestría / Especialidad,https://becas-sin-fronteras.com/beca/becas-de-excelencia-de-la-universidad-de-milan-para-estudiantes-internacionales-a2926/
,,,,,
,,,,,
el Reino Unido,"Becas UCL Global Undergraduate Scholarship, 2022",,"ciencias de la computación,Ingeniería",Licenciatura / Grado,https://becas-sin-fronteras.com/beca/becas-ucl-global-undergraduate-scholarship-a2923/
España,"Becas OIJ – ESNE para estudios de posgrado, 2022",,"ciencias de la computación,Ingeniería",Maestría / Especialidad,https://becas-sin-fronteras.com/beca/becas-oij-esne-para-estudios-de-posgrado-a2265/
México,"Becas UNAM – Convocatoria de Movilidad estudiantil internacional CONAHEC, 2022-2",,"ciencias de la computación,Ingeniería",Licenciatura / Grado,https://becas-sin-fronteras.com/beca/becas-unam-convocatoria-de-movilidad-estudiantil-internacional-conahec-a2920/
Portugal,"Becas para cursar másteres oficiales en la Universidad de Aveiro, Portugal – AUIP, 2022",,"ciencias de la computación,Ingeniería",Maestría / Especialidad,https://becas-sin-fronteras.com/beca/becas-para-cursar-masteres-oficiales-en-la-universidad-de-aveiro-portugal-auip-a1580/
España,"Becas Banco Santander – Universidad Alicante – UA, 2022",,"ciencias de la computación,Ingeniería",Maestría / Especialidad,https://becas-sin-fronteras.com/beca/becas-banco-santander-universidad-alicante-ua-a0090/
Italia,"Becas de la Universidad de Calabria para estudiantes internacionales, 2022-2023",,"ciencias de la computación,Ingeniería","Licenciatura / Grado,Maestría / Especialidad",https://becas-sin-fronteras.com/beca/becas-de-la-universidad-de-calabria-para-estudiantes-internacionales-a2247/
,,,,,
,,,,,
España,"Beca Máster Internacional UC-UIMP en Tecnología, Rehabilitación y Gestión de la Edificación, 2022-2023",,ciencias de la computación,Maestría / Especialidad,https://becas-sin-fronteras.com/beca/2020-banner-beca-master-internacional-uc-uimp-en-tecnologia-rehabilitacion-y-gestion-de-la-edificacion-a1677/
"online,España","Becas OEA – Structuralia, 2022",,"ciencias de la computación,Ingeniería",Maestría / Especialidad,https://becas-sin-fronteras.com/beca/becas-oea-structuralia-a2865/
,,,,,
Portugal,"Becas para cursar Másteres en Instituto Politécnico de Leiria – Becas AUIP, 2022-2023",,"ciencias de la computación,Ingeniería",Maestría / Especialidad,https://becas-sin-fronteras.com/beca/becas-para-cursar-masteres-en-instituto-politecnico-de-leiria-becas-auip-a0230/
,,,,,
,,,,,
"online,España","Becas OIJ – Structuralia, 2022",,ciencias de la computación,Maestría / Especialidad,https://becas-sin-fronteras.com/beca/becas-oij-structuralia-a1049/
"online,España","Becas PAEC Universidad Europea – OEA, 2022",,"ciencias de la computación,Ingeniería",Maestría / Especialidad,https://becas-sin-fronteras.com/beca/becas-paec-universidad-europea-oea-a2903/
Colombia,"Becas del Municipio de Bucaramanga, 2022-1",,"ciencias de la computación,Ingeniería",Licenciatura / Grado,https://becas-sin-fronteras.com/beca/becas-del-municipio-de-bucaramanga-a2212/
Australia,"Becas LGBTQIA+ Bursary – Universidad de Queensland, 2022",,"ciencias de la computación,Ingeniería","Licenciatura / Grado,Maestría / Especialidad,Doctorado,Posdoctorado",https://becas-sin-fronteras.com/beca/becas-lgbtqia-bursary-universidad-de-queensland-a2901/
México,"Becas AUIP para programas de Postgrado en ITESO, México, 2022",,"ciencias de la computación,Ingeniería","Maestría / Especialidad,Doctorado",https://becas-sin-fronteras.com/beca/becas-auip-para-programas-de-postgrado-en-iteso-mexico-a1412/
México,"Beca Habesha Protección y Becas Odyssey para personas refugiadas en México, 2022",,"ciencias de la computación,Ingeniería","Licenciatura / Grado,Maestría / Especialidad",https://becas-sin-fronteras.com/beca/beca-habesha-proteccion-y-becas-odyssey-para-personas-refugiadas-en-mexico-a2883/
Estados Unidos,"Beca Fulbright DPS para jóvenes en acción colombianos, 2023",,"ciencias de la computación,Ingeniería",Maestría / Especialidad,https://becas-sin-fronteras.com/beca/beca-fulbright-dps-para-jovenes-en-accion-colombianos-a2867/
,,,,,
Polonia,"Programa de Becas Banach Scholarship, 2022-2023",,"ciencias de la computación,Ingeniería",Licenciatura / Grado,https://becas-sin-fronteras.com/beca/programa-de-becas-banach-scholarship-a2309/
"online,Colombia","Becas del cambio – Gobernación del Magdalena, 2022",,"ciencias de la computación,Ingeniería",Licenciatura / Grado,https://becas-sin-fronteras.com/beca/becas-del-cambio-gobernacion-del-magdalena-a2222/
Colombia,"Fondo de Becas de Investigación Manizales + Innovadora, 2022",,"ciencias de la computación,Ingeniería",Maestría / Especialidad,https://becas-sin-fronteras.com/beca/fondo-de-becas-de-investigacion-manizales-mas-innovadora-a2219/
España,"Becas BEME – Excelencia Juventud Exterior para máster – Xunta de Galicia, 2022",,"ciencias de la computación,Ingeniería",Maestría / Especialidad,https://becas-sin-fronteras.com/beca/becas-excelencia-juventud-exterior-para-master-xunta-de-galicia-a0060/
"Argentina,Bolivia,Brasil,Chile,Colombia,Costa Rica,Cuba,la República Dominicana,Ecuador,El Salvador,España,Guatemala,Honduras,México,Nicaragua,Panamá,Paraguay,Perú,Portugal,Puerto Rico,Uruguay,Venezuela","Becas AUIP – Programa de Movilidad Académica entre Instituciones Asociadas a la AUIP, 2022",,"ciencias de la computación,Ingeniería","Maestría / Especialidad,Doctorado",https://becas-sin-fronteras.com/beca/becas-auip-programa-de-movilidad-academica-entre-instituciones-asociadas-a-la-auip-2017-11875/
España,"Becas AUIP de Movilidad entre Universidades Andaluzas e Iberoamericanas, 2022",,"ciencias de la computación,Ingeniería","Maestría / Especialidad,Doctorado,Posdoctorado",https://becas-sin-fronteras.com/beca/becas-auip-de-movilidad-entre-universidades-andaluzas-e-iberoamericanas-2017-11874/
Austria,"Becas AAI Graz de maestría y doctorado en Austria, 2022",,"ciencias de la computación,Ingeniería","Maestría / Especialidad,Doctorado",https://becas-sin-fronteras.com/beca/becas-aai-graz-de-maestria-y-doctorado-en-austria-a2844/
Italia,"Becas para Licenciatura, Maestría y Doctorado en varios temas en la Universidad de Bolonia, 2022-2023",,"ciencias de la computación,Ingeniería","Licenciatura / Grado,Maestría / Especialidad,Doctorado",https://becas-sin-fronteras.com/beca/becas-italia-beca-licenciatura-maestria-doctorado-varios-temas-universidad-de-bolonia-11691/
,,,,,
"online,España","Becas Quiero – Universidad Internacional de Valencia – VIU, 2022",,"ciencias de la computación,Ingeniería",Maestría / Especialidad,https://becas-sin-fronteras.com/beca/becas-quiero-universidad-internacional-de-valencia-viu-a1682/
,,,,,
España,"Becas Santander Estudios | Doctorado para Iberoamericanos y ecuatoguineanos en la Universidad de Zaragoza, 2022-2023",,"ciencias de la computación,Ingeniería",Doctorado,https://becas-sin-fronteras.com/beca/becas-para-iberoamericanos-en-estudios-de-doctorado-universidad-de-zaragoza-santander-universidades-a1264/
,,,,,
Corea del Sur,"Becas Global Korea Scholarship, GKS, 2022",,"ciencias de la computación,Ingeniería","Maestría / Especialidad,Doctorado",https://becas-sin-fronteras.com/beca/becas-global-korea-scholarship-a0039/
,,,,,
Italia,"Beca para Maestría en energía, gestión medioambiental y economía – ENI – MEDEA, 2022-2023",,ciencias de la computación,Maestría / Especialidad,https://becas-sin-fronteras.com/beca/beca-para-maestria-en-energia-gestion-medioambiental-y-economia-eni-medea-a2171/
Corea del Sur,"Becas de pregrado Global Korea Scholarship, GKS-UIC, 2022",,"ciencias de la computación,Ingeniería",Licenciatura / Grado,https://becas-sin-fronteras.com/beca/becas-de-pregrado-global-korea-scholarship-gks-uic-a2850/
,,,,,
Francia,"Becas Victor Hugo para latinoamericanos, 2022-2023",,"ciencias de la computación,Ingeniería",Maestría / Especialidad,https://becas-sin-fronteras.com/beca/becas-francia-beca-victor-hugo-para-latinoamericanos-11543/
Austria,"Becas One World Scholarship del AAI Salzburg en Austria, 2022-2023",,"ciencias de la computación,Ingeniería","Maestría / Especialidad,Doctorado",https://becas-sin-fronteras.com/beca/becas-one-world-scholarship-del-aai-salzburg-en-austria-a2386/
,,,,,
,,,,,
el Reino Unido,"Becas Internacionales Newton – The British Academy, 2022",,"ciencias de la computación,Ingeniería",Posdoctorado,https://becas-sin-fronteras.com/beca/becas-internacionales-newton-the-british-academy-a2827/
España,"Becas de atracción del Talento para estudios de máster de la Universidad de Jaén, 2022-2023",,"ciencias de la computación,Ingeniería",Maestría / Especialidad,https://becas-sin-fronteras.com/beca/becas-de-atraccion-del-talento-para-estudios-de-master-de-la-universidad-de-jaen-a2825/
,,,,,
Francia,"Becas para Maestrías de la Universidad París-Saclay, 2022-2023",,"ciencias de la computación,Ingeniería",Maestría / Especialidad,https://becas-sin-fronteras.com/beca/becas-para-maestrias-de-la-universidad-paris-saclay-a0400/
Italia,"Becas de la Escuela Galileana de Estudios Superiores de la Universidad de Padua, 2022-2023",,"ciencias de la computación,Ingeniería",Maestría / Especialidad,https://becas-sin-fronteras.com/beca/becas-de-la-escuela-galileana-de-estudios-superiores-de-la-universidad-de-padua-a2823/
"online,Estados Unidos","Becas de la OEA y la Universidad Internacional Marconi, 2022 (verano)",,"ciencias de la computación,Ingeniería","Licenciatura / Grado,Maestría / Especialidad",https://becas-sin-fronteras.com/beca/becas-de-la-oea-y-la-universidad-internacional-marconi-a2211/
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"online,Argentina,Bolivia,Brasil,Chile,Colombia,Costa Rica,Cuba,Ecuador,El Salvador,Estados Unidos,Guatemala,Honduras,México,Nicaragua,Panamá,Paraguay,Perú,Puerto Rico,Uruguay,Venezuela,otros países","Becas académicas de estudios de pregrado – OEA, 2022",,"ciencias de la computación,Ingeniería",Licenciatura / Grado,https://becas-sin-fronteras.com/beca/becas-academicas-de-estudios-de-pregrado-oea-a1593/
,,,,,
España,"Becas Alumni Universidad de Navarra, 2022-2023",,"ciencias de la computación,Ingeniería",Licenciatura / Grado,https://becas-sin-fronteras.com/beca/becas-alumni-universidad-de-navarra-a0624/
,,,,,
Francia,"Beca de movilidad “Mujeres Científicas”, del Gobierno de Francia, 2022",,"ciencias de la computación,Ingeniería","Licenciatura / Grado,Maestría / Especialidad",https://becas-sin-fronteras.com/beca/beca-de-movilidad-mujeres-cientificas-del-gobierno-de-francia-a2251/
el Reino Unido,"Becas de licenciatura Edinburgh Global Undergraduate Mathematics Scholarships, 2022-2023",,ciencias de la computación,Licenciatura / Grado,https://becas-sin-fronteras.com/beca/becas-de-licenciatura-edinburgh-global-undergraduate-mathematics-scholarships-a2170/
España,"Becas STEM Women Iberoamérica + Asia, Universidad de Valladolid – Banco Santander, 2022-2023",,"ciencias de la computación,Ingeniería",Maestría / Especialidad,https://becas-sin-fronteras.com/beca/becas-stem-women-iberoamerica-asia-universidad-de-valladolid-banco-santander-a2091/
Colombia,"Un ticket para el futuro – ICETEX, 2022-1",,ciencias de la computación,Maestría / Especialidad,https://becas-sin-fronteras.com/beca/un-ticket-para-el-futuro-icetex-a2802/
,,,,,
"online,España","Becas OIJ – EADIC, 2022 (Marzo)",,"ciencias de la computación,Ingeniería",Maestría / Especialidad,https://becas-sin-fronteras.com/beca/becas-oij-eadic-a2466/
Italia,"Becas Invest Your Talent in Italy de posgrado en Italia, 2022-2023",,"ciencias de la computación,Ingeniería",Maestría / Especialidad,https://becas-sin-fronteras.com/beca/becas-invest-your-talent-in-italy-de-posgrado-en-italia-a1428/
España,"Becas de atracción del Talento para estudios de Grado de la Universidad de Jaén, 2022-2023",,ciencias de la computación,Licenciatura / Grado,https://becas-sin-fronteras.com/beca/becas-de-atraccion-del-talento-para-estudios-de-grado-de-la-universidad-de-jaen-a2029/
,,,,,
Rumania,"Becas “Eugen Ionescu”, 2022",,"ciencias de la computación,Ingeniería","Doctorado,Posdoctorado",https://becas-sin-fronteras.com/beca/becas-eugen-ionescu-a2834/
Estados Unidos,"Beca HSF – Hispanic Scholarship Fund, 2022-2023",,"ciencias de la computación,Ingeniería",Licenciatura / Grado,https://becas-sin-fronteras.com/beca/beca-hsf-a0413/
,,,,,
Italia,"Becas de Excelencia de la Universidad de Padua para estudiantes internationales, 2022-2023",,"ciencias de la computación,Ingeniería","Licenciatura / Grado,Maestría / Especialidad",https://becas-sin-fronteras.com/beca/becas-de-excelencia-de-la-universidad-de-padua-para-estudiantes-internationales-a2079/
,,,,,
,,,,,
España,"Becas para realizar Estudios de Máster Universitario en la Universidad Carlos III – Becas AUIP, 2022-2023",,"ciencias de la computación,Ingeniería",Maestría / Especialidad,https://becas-sin-fronteras.com/beca/becas-para-realizar-estudios-de-master-universitario-en-la-universidad-carlos-iii-becas-auip-a0237/
,,,,,
Arabia Saudita,"Becas King Abdullah University of Science and Technology, KAUST, 2022",,"ciencias de la computación,Ingeniería","Maestría / Especialidad,Doctorado",https://becas-sin-fronteras.com/beca/b10135-becas-arabia-saudi-kaust-posgrado/
"online,España","Becas OIJ – Universidad de Nebrija, 2022",,ciencias de la computación,Maestría / Especialidad,https://becas-sin-fronteras.com/beca/becas-oij-universidad-de-nebrija-a1675/
"de Bolivia,de Chile,de Colombia,de Cuba,de la República Dominicana,de Ecuador,de Guatemala,de Honduras,de Nicaragua,de Panamá,de Perú,de Venezuela","Becas del Gobierno de Azerbaiyán para estudiantes internacionales, 2022",,"ciencias de la computación,Ingeniería","Licenciatura / Grado,Maestría / Especialidad,Doctorado",https://becas-sin-fronteras.com/beca/becas-del-gobierno-de-azerbaiyan-para-estudiantes-internacionales-a1378/
,,,,,
,,,,,
España,"Becas de la Fundación Carolina, 2022-2023",,"ciencias de la computación,Ingeniería","Maestría / Especialidad,Doctorado,Posdoctorado",https://becas-sin-fronteras.com/beca/becas-de-la-fundacion-carolina-a2070/
Turquía,"Becas Türkiye Burslari para estudiar en Turquía, 2022",,"ciencias de la computación,Ingeniería","Licenciatura / Grado,Maestría / Especialidad,Doctorado",https://becas-sin-fronteras.com/beca/becas-turkiye-burslari-para-estudiar-en-turquia-a1311/
Holanda,"Beca Holanda – Holland Scholarship, 2022-2023",,"ciencias de la computación,Ingeniería","Licenciatura / Grado,Maestría / Especialidad",https://becas-sin-fronteras.com/beca/beca-holanda-holland-scholarship-a1927/
Taiwán,"Becas MOFA Taiwan Scholarship para pregrado, licenciatura, maestría y doctorado, 2022",,"ciencias de la computación,Ingeniería","Licenciatura / Grado,Maestría / Especialidad,Doctorado",https://becas-sin-fronteras.com/beca/becas-mofa-taiwan-scholarship-para-pregrado-licenciatura-maestria-y-doctorado-a1294/
Singapur,"Becas Singapore International pre-Graduate Award, Sipga, 2022",,"ciencias de la computación,Ingeniería","Licenciatura / Grado,Maestría / Especialidad",https://becas-sin-fronteras.com/beca/b10110-becas-singapur-estancia-investigacion-sipga/
España,"Becas Iberoamérica + Asia, Universidad de Valladolid – Banco Santander, 2022-2023",,"ciencias de la computación,Ingeniería",Maestría / Especialidad,https://becas-sin-fronteras.com/beca/becas-iberoamerica-plus-asia-universidad-de-valladolid-banco-santander-a1415/
Estados Unidos,"Becas para estudiar una licenciatura en los Estados Unidos – Educations.com, 2022",,"ciencias de la computación,Ingeniería",Licenciatura / Grado,https://becas-sin-fronteras.com/beca/becas-para-estudiar-una-licenciatura-en-los-estados-unidos-educationscom-a2103/
el Reino Unido,"Beca ESRC White Rose DTP EN LA Universidad de Leeds, 2022",,ciencias de la computación,"Maestría / Especialidad,Doctorado",https://becas-sin-fronteras.com/beca/beca-esrc-white-rose-dtp-en-la-universidad-de-leeds-a2750/
,,,,,
Suecia,"Becas Adlerbert para estudiantes internacionales en la Universidad Tecnológica Chalmers, 2022",,"ciencias de la computación,Ingeniería",Maestría / Especialidad,https://becas-sin-fronteras.com/beca/becas-adlerbert-para-estudiantes-internacionales-en-la-universidad-tecnologica-chalmers-a2745/
,,,,,
,,,,,
,,,,,
Holanda,"Becas AUC Scholarship Fund del Amsterdam University College, 2022",,"ciencias de la computación,Ingeniería",Licenciatura / Grado,https://becas-sin-fronteras.com/beca/becas-auc-scholarship-fund-del-amsterdam-university-college-a2798/
China,"Becas ANSO para jóvenes talentos para estudiar en China, 2022",,"ciencias de la computación,Ingeniería","Maestría / Especialidad,Doctorado",https://becas-sin-fronteras.com/beca/becas-anso-para-jovenes-talentos-para-estudiar-en-china-a2796/
Holanda,"Becas Orange Knowledge Programme, Holanda, 2022-2023",,"ciencias de la computación,Ingeniería",Maestría / Especialidad,https://becas-sin-fronteras.com/beca/becas-orange-knowledge-programme-holanda-a2069/
Rumania,"Becas del Gobierno de Rumania, 2022",,"ciencias de la computación,Ingeniería","Licenciatura / Grado,Maestría / Especialidad,Doctorado",https://becas-sin-fronteras.com/beca/b10125-becas-gobierno-rumania-licenciatura-maestria-doctorado/
el Reino Unido,"Becas University of Brighton International Scholarships, 2022-2023",,"ciencias de la computación,Ingeniería",Licenciatura / Grado,https://becas-sin-fronteras.com/beca/becas-reino-unido-beca-university-of-brighton-international-scholarships-11670/
,,,,,
Bélgica,"Becas Top-up para maestría en la Universidad de Gante, 2022-2023",,"ciencias de la computación,Ingeniería",Maestría / Especialidad,https://becas-sin-fronteras.com/beca/becas-belgica-beca-para-maestria-en-varios-temas-universidad-de-gante-11689/
,,,,,
